,precision,recall,f1-score,support
B-LOC,0.0,0.0,0.0,596.0
B-MISC,0.0,0.0,0.0,23.0
B-ORG,1.0,0.0026954177897574125,0.005376344086021506,371.0
B-PER,0.0,0.0,0.0,429.0
I-LOC,0.0,0.0,0.0,168.0
I-MISC,0.0,0.0,0.0,14.0
I-ORG,0.0,0.0,0.0,408.0
I-PER,0.0,0.0,0.0,16.0
micro avg,1.0,0.0004938271604938272,0.000987166831194472,2025.0
macro avg,0.125,0.00033692722371967657,0.0006720430107526882,2025.0
weighted avg,0.1832098765432099,0.0004938271604938272,0.0009849993362538167,2025.0
